id,v_type,k,v
251146209,<type 'str'>,highway,traffic_signals
253179984,<type 'str'>,highway,traffic_signals
253179993,<type 'str'>,highway,traffic_signals
253518983,<type 'str'>,highway,bus_stop
253518983,<type 'str'>,name,HAL Market
253518983,<type 'unicode'>,name:kn,ಎಚ್ಎಎಲ್ ಮಾರ್ಕೆಟ್
253518986,<type 'str'>,highway,turning_circle
253518986,<type 'str'>,junction,yes
253518986,<type 'str'>,name,Rashtrakavi Kuvempu Circle
253518986,<type 'unicode'>,name:kn,ರಾಷ್ಟ್ರಕವಿ ಕುವೆಂಪು ವೃತ್ತ
253521393,<type 'str'>,highway,traffic_signals
253521398,<type 'str'>,highway,traffic_signals
253521405,<type 'str'>,highway,traffic_signals
253890237,<type 'str'>,highway,bus_stop
253890237,<type 'str'>,name,Trinity Circle
253890237,<type 'unicode'>,name:kn,ಟ್ರಿನಿಟಿ ವೃತ್ತ
253890241,<type 'str'>,highway,bus_stop
253890241,<type 'str'>,name,Account Office HAL Road
254438943,<type 'str'>,created_by,JOSM
254438945,<type 'str'>,created_by,JOSM
254438964,<type 'str'>,created_by,JOSM
254438966,<type 'str'>,created_by,JOSM
254438967,<type 'str'>,created_by,JOSM
254438973,<type 'str'>,created_by,JOSM
254661598,<type 'str'>,created_by,JOSM
254661635,<type 'str'>,created_by,JOSM
254661639,<type 'str'>,created_by,JOSM
254661663,<type 'str'>,created_by,JOSM
254661859,<type 'str'>,created_by,JOSM
254661873,<type 'str'>,created_by,JOSM
254661882,<type 'str'>,created_by,JOSM
254661884,<type 'str'>,created_by,JOSM
254661886,<type 'str'>,created_by,JOSM
254661888,<type 'str'>,created_by,JOSM
254664211,<type 'str'>,created_by,JOSM
254665554,<type 'str'>,created_by,JOSM
254920186,<type 'str'>,highway,traffic_signals
254920223,<type 'str'>,highway,traffic_signals
254923713,<type 'str'>,highway,bus_stop
254923713,<type 'str'>,local_ref,KORAMANGALA RING ROAD
254923713,<type 'str'>,name,Canara Bank
254923713,<type 'unicode'>,name:kn,ಕೆನರಾ ಬ್ಯಾಂಕ್
255558038,<type 'str'>,highway,traffic_signals
255558038,<type 'str'>,name,Thippasandra Cross
255558038,<type 'unicode'>,name:kn,ತಿಪ್ಪಸಂದ್ರ ಕ್ರಾಸ್
255558064,<type 'str'>,highway,bus_stop
255558064,<type 'str'>,local_ref,Thippasandra
255558064,<type 'str'>,name,Tippasandra Market
255558064,<type 'unicode'>,name:kn,ತಿಪ್ಪಸಂದ್ರ ಮಾರುಕಟ್ಟೆ
255558081,<type 'str'>,highway,traffic_signals
255558081,<type 'str'>,name,BEML Gate
255558081,<type 'unicode'>,name:kn,ಬೆಮಲ್ ಗೇಟ್
256093264,<type 'str'>,highway,traffic_signals
260729391,<type 'str'>,highway,traffic_signals
260729391,<type 'str'>,name,Sony World Signal
260729391,<type 'unicode'>,name:kn,ಸೋನಿ ವರ್ಲ್ಡ್ ಸಿಗ್ನಲ್
260911861,<type 'str'>,crossing,traffic_signals
260911861,<type 'str'>,highway,traffic_signals
262268684,<type 'str'>,highway,traffic_signals
263227090,<type 'str'>,created_by,JOSM
263227103,<type 'str'>,created_by,JOSM
263227115,<type 'str'>,amenity,post_office
263227115,<type 'str'>,created_by,Potlatch 0.10c
263227115,<type 'str'>,name,Koramangala 3rd Block
263227115,<type 'unicode'>,name:kn,ಕೋರಮಂಗಲ ೩ನೇ ಹಂತ
263415864,<type 'str'>,traffic_calming,hump
263472490,<type 'str'>,addr:city,Bangalore
263472490,<type 'str'>,addr:postcode,560102
263472490,<type 'str'>,addr:street,27th Main
263472490,<type 'str'>,amenity,bank
263472490,<type 'str'>,atm,yes
263472490,<type 'str'>,name,ICICI Bank
263472490,<type 'unicode'>,name:kn,ಐಸಿಐಸಿಐ ಬ್ಯಾಂಕ್
263472498,<type 'str'>,amenity,bank
263472498,<type 'str'>,created_by,Potlatch 0.9
263472498,<type 'str'>,name,Karnataka Bank
263472498,<type 'unicode'>,name:kn,ಕರ್ಣಾಟಕ ಬ್ಯಾಂಕ್
263472508,<type 'str'>,amenity,school
263472508,<type 'str'>,created_by,Potlatch 0.9
263472508,<type 'str'>,name,Angel Heart Montessori Play School
263472508,<type 'unicode'>,name:kn,ಅಂಜೆಲ್ ಹಾರ್ಟ್ ಮಂಟೆಸ್ಸರಿ ಶಾಲೆ
263871101,<type 'str'>,created_by,JOSM
263887109,<type 'str'>,created_by,JOSM
263887118,<type 'str'>,created_by,JOSM
263887127,<type 'str'>,created_by,JOSM
264129302,<type 'str'>,traffic_calming,hump
264129314,<type 'str'>,traffic_calming,hump
264129318,<type 'str'>,traffic_calming,yes
264129333,<type 'str'>,created_by,JOSM
264129333,<type 'str'>,maxspeed,30
264129354,<type 'str'>,traffic_calming,hump
264129509,<type 'str'>,created_by,JOSM
264129509,<type 'str'>,maxspeed,10
264129529,<type 'str'>,maxspeed,10
264129530,<type 'str'>,maxspeed,10
264139955,<type 'str'>,created_by,JOSM
264139956,<type 'str'>,created_by,JOSM
264139957,<type 'str'>,created_by,JOSM
264139958,<type 'str'>,created_by,JOSM
264146835,<type 'str'>,created_by,JOSM
264146836,<type 'str'>,created_by,JOSM
264146838,<type 'str'>,created_by,JOSM
264146840,<type 'str'>,created_by,JOSM
264146842,<type 'str'>,created_by,JOSM
264191074,<type 'str'>,crossing,traffic_signals
264191074,<type 'str'>,highway,traffic_signals
264191750,<type 'str'>,highway,bus_stop
264191750,<type 'str'>,name,Wipro Gate
264334400,<type 'str'>,created_by,JOSM
264334410,<type 'str'>,created_by,JOSM
264334428,<type 'str'>,created_by,JOSM
264334438,<type 'str'>,created_by,JOSM
264335868,<type 'str'>,created_by,JOSM
264335873,<type 'str'>,created_by,JOSM
